date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:31	631357/631357	---M--	200	added ('OK')	application/pdf	etag:%229a23d-5c4f42e8b108c%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928014_10.Stroitelystvoiekspluataciyaaeroportoviaerodromov(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928014_10.Stroitelystvoiekspluataciyaaeroportoviaerodromov(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:32	539590/539590	---M--	200	added ('OK')	application/pdf	etag:%2283bc6-5c4f42f6b6254%22	https://pk.madi.ru/uploads/files/2021/06/17/1623927972_5.Iskusstvennyesoorugheniyanatransporte,sposobyihvozvedeniyaiekspluatacii(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623927972_5.Iskusstvennyesoorugheniyanatransporte,sposobyihvozvedeniyaiekspluatacii(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:34	656762/656762	---M--	200	added ('OK')	application/pdf	etag:%22a057a-5c4f430288835%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928033_8.Stroitelynayamehanika(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928033_8.Stroitelynayamehanika(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:38	601937/601937	---M--	200	added ('OK')	application/pdf	etag:%2292f51-5c4f4310ba0ed%22	https://pk.madi.ru/uploads/files/2021/06/17/1623927993_6.Materialyiizdeliyadlyatransportnogostroitelystva(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623927993_6.Materialyiizdeliyadlyatransportnogostroitelystva(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:41	595552/595552	---M--	200	added ('OK')	application/pdf	etag:%2291660-5c4f432459bd6%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928046_7.Proektirovanieavtomobilynyhdorogigorodskihulic(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928046_7.Proektirovanieavtomobilynyhdorogigorodskihulic(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:42	691384/691384	---M--	200	added ('OK')	application/pdf	etag:%22a8cb8-5c4f433849be6%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928026_9.Stroitelystvoavtomagistraleyiupravlenieproektami(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928026_9.Stroitelystvoavtomagistraleyiupravlenieproektami(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:44	810143/810143	---M--	200	added ('OK')	application/pdf	etag:%22c5c9f-5c4f4348402b7%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928018_4.Gidravlicheskiemashiny,gidroprivodyigidropnevmoavtomatika(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928018_4.Gidravlicheskiemashiny,gidroprivodyigidropnevmoavtomatika(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:45	617668/617668	---M--	200	added ('OK')	application/pdf	etag:%2296cc4-5c4f4352c5877%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928093_5.Mashinovedenieidetalimashin(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928093_5.Mashinovedenieidetalimashin(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:46	847523/847523	---M--	200	added ('OK')	application/pdf	etag:%22ceea3-5c4f4390796d9%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928093_8.Tehnologiyamashinostroeniya(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928093_8.Tehnologiyamashinostroeniya(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:46	625427/625427	---M--	200	added ('OK')	application/pdf	etag:%2298b13-5c4f439c42461%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928119_7.Lokalynyesistemyavtomatizacii(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928119_7.Lokalynyesistemyavtomatizacii(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:47	574664/574664	---M--	200	added ('OK')	application/pdf	etag:%228c4c8-5c4f43c7a8a03%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928173_10.Organizaciyatransportnogoobespecheniyavneshneekonomicheskoydeyatelynosti(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928173_10.Organizaciyatransportnogoobespecheniyavneshneekonomicheskoydeyatelynosti(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
